Date,value
4/1/1996,13649
7/1/1996,14073
10/1/1996,15649
1/1/1997,15330
4/1/1997,14981
7/1/1997,15594
10/1/1997,16719
1/1/1998,15803
4/1/1998,14930
7/1/1998,15408
10/1/1998,16466
1/1/1999,14100
4/1/1999,13463
7/1/1999,16812
10/1/1999,17330
1/1/2000,16632
4/1/2000,16900
7/1/2000,18849
10/1/2000,21974
1/1/2001,20944
4/1/2001,21533
7/1/2001,20213
10/1/2001,23074
1/1/2002,21076
4/1/2002,20696
7/1/2002,22079
10/1/2002,24507
1/1/2003,22957
4/1/2003,21715
7/1/2003,21735
10/1/2003,24462
1/1/2004,21303
4/1/2004,21060
7/1/2004,22059
10/1/2004,22157
1/1/2005,21368
4/1/2005,23188
7/1/2005,25089
10/1/2005,29221
1/1/2006,26118
4/1/2006,26384
7/1/2006,29655
10/1/2006,39932
1/1/2007,37199
4/1/2007,41332
7/1/2007,52362
10/1/2007,65956
1/1/2008,72568
4/1/2008,80244
7/1/2008,107184
10/1/2008,145047
1/1/2009,163342
4/1/2009,175070
7/1/2009,195618
10/1/2009,232757
1/1/2010,237837
4/1/2010,223208
7/1/2010,222554
10/1/2010,220410
1/1/2011,213568
4/1/2011,208412
7/1/2011,210285
10/1/2011,217748
1/1/2012,215486
4/1/2012,213464
7/1/2012,221399
10/1/2012,214991
1/1/2013,203127
4/1/2013,188911
7/1/2013,175418
10/1/2013,169270
1/1/2014,157955
4/1/2014,148651
7/1/2014,140825
10/1/2014,135909
1/1/2015,125279
4/1/2015,117374
7/1/2015,111541
10/1/2015,109828
1/1/2016,101000
4/1/2016,95546
7/1/2016,91840
10/1/2016,90999
1/1/2017,82951
4/1/2017,77510
7/1/2017,78820
10/1/2017,81730
1/1/2018,75107
4/1/2018,69159
7/1/2018,66912
10/1/2018,64286
1/1/2019,59980
4/1/2019,56785
7/1/2019,54587
